Date,Tag number,Colony Size,Fob 1st,Fob 2nd,Fob 3rd,FoBrood,Queen status,Frames of Honey,Open,Close,Notes
2021-06-22,3629,1,6.0,,,,QR,,16:30:00,16:36:00,installed audio sensor prototype
2021-06-22,6,1,10.0,,,,QR,,16:50:00,16:55:00,needs 3rd box
2021-06-22,3631,2,10.0,10.0,,,QR,,16:56:00,17:00:00,bottom box wax is not fully drawn out
2021-06-22,3693,2,6.0,8.0,,,QR,,17:01:00,17:05:00,installed audio sensor prototype
2021-06-22,3690,2,10.0,10.0,,,QR,,17:05:00,17:14:00,swarm cell cups seen
2021-06-22,3691,2,7.0,10.0,,,QR,,17:16:00,17:24:00,
2021-06-22,3628,2,7.0,10.0,,,QR,,17:26:00,17:34:00,
2021-06-22,3627,1,8.0,,,,QR,,17:35:00,17:40:00,
2021-06-22,3692,1,8.0,,,,QR,,17:41:00,17:44:00,
2021-06-29,3692,2,8.5,,,,QR,,17:09:00,17:18:00,added second super June 27
2021-06-29,3627,2,10.0,,,7.5,QR,,17:19:00,17:28:00,
2021-06-29,3628,3,10.0,10.0,,,QR,,17:29:00,17:37:00,
2021-06-29,3691,3,10.0,10.0,,,QR,,17:35:00,17:47:00,added 3rd super
2021-06-29,3690,2,10.0,10.0,,,QR,,17:55:00,17:57:00,running out of space
2021-06-29,3693,2,10.0,10.0,,,QR,,17:57:00,18:00:00,
2021-06-29,3631,2,10.0,10.0,,,QR,,18:01:00,18:03:00,
2021-06-29,6,2,10.0,2.0,,,QR,,18:04:00,18:07:00,Didn’t open 1st box
2021-06-29,3640,2,10.0,3.0,,,QR,,18:04:00,18:14:00,
2021-06-29,3629,2,8.5,,,,QR,,18:19:00,18:27:00,Roof was blown off when we arrived
2021-07-05,3692,2,10.0,3.0,,6.0,QR,,18:45:00,18:52:00,
2021-07-05,3627,2,10.0,10.0,,9.0,QR,,18:34:00,18:42:00,aggressive
2021-07-05,3628,3,10.0,10.0,4.0,15.0,QR,,18:26:00,18:33:00,
2021-07-05,3691,3,10.0,10.0,10.0,17.0,QR,,18:21:00,18:25:00,3 box build comb already
2021-07-05,3690,2,10.0,10.0,,,QR,10.0,18:14:00,18:20:00,Running out of space
2021-07-05,3693,2,10.0,10.0,,,QR,10.0,18:14:00,18:20:00,running out of space
2021-07-05,3631,2,10.0,10.0,,,QR,,18:13:00,18:17:00,"Running out of space, added a 3rd box"
2021-07-05,6,2,10.0,10.0,,8.0,QR,11.0,18:02:00,18:09:00,2nd box drawn out comb. 80% filled with uncapped honey in second box
2021-07-05,3640,2,10.0,1.0,,8.0,QR,1.0,17:46:00,18:01:00,4 queen cells
2021-07-05,3629,2,7.5,2.5,,6.0,QR,,17:35:00,17:44:00,No comb on new frames
2021-07-13,3692,2,8.0,3.0,,,QR,,13:39:00,13:46:00,
2021-07-13,3627,2,10.0,5.0,,,QR,3.0,14:45:00,14:49:00,
2021-07-13,3628,3,10.0,5.0,5.0,,QR,7.0,14:39:00,14:44:00,not much comb has been built on 3 frames in middle box. Comb built on 3rd box
