Date,Tag number,Category,Action detail,Queen status,Is alive,Report notes
2022-06-02 17:04:09.450267+00:00,3627,,,queenright,1,
2022-06-02 17:20:39.867942+00:00,3627,hive status,queenright,queenright,1,nucs All qr. added second and queen excluders on all
2022-06-02 17:20:39.867942+00:00,3627,hive grading,medium,queenright,1,nucs All qr. added second and queen excluders on all
2022-06-20 20:48:26.646910+00:00,3627,hive grading,weak,queenright,1,
2022-07-04 21:50:46.479608+00:00,3627,hive grading,medium,queenright,1,7fob
2022-07-11 19:58:17.750966+00:00,3627,hive grading,medium,queenright,1,7 frames of brood
2022-07-11 19:58:17.750966+00:00,3627,hive status,queenright,queenright,1,7 frames of brood
2022-07-11 19:58:17.750966+00:00,3627,frames of bees,7,queenright,1,7 frames of brood
2022-07-19 20:53:47.773916+00:00,3627,hive grading,medium,queenright,1,weird brood pattern in some frames. beautiful in others. 5 fobr.
2022-07-19 20:53:47.773916+00:00,3627,hive status,queenright,queenright,1,weird brood pattern in some frames. beautiful in others. 5 fobr.
2022-07-19 20:53:47.773916+00:00,3627,frames of bees,9,queenright,1,weird brood pattern in some frames. beautiful in others. 5 fobr.
2022-08-04 12:54:07.298692+00:00,3627,hive grading,pulled honey super,queenright,1,pulled 6 honey supers
2022-08-16 22:00:09.878646+00:00,3627,hive grading,size - 1d,queenright,1,
2022-08-16 22:00:09.878646+00:00,3627,hive status,queenright,queenright,1,
2022-08-16 22:00:09.878646+00:00,3627,frames of bees,8,queenright,1,
2022-08-19 17:52:37.586952+00:00,3627,hive grading,medium,queenright,1,3 fobr
2022-08-19 17:52:37.586952+00:00,3627,hive status,queenright,queenright,1,3 fobr
2022-08-19 17:52:37.586952+00:00,3627,frames of bees,8,queenright,1,3 fobr
2022-08-24 20:30:15.427454+00:00,3627,varroa,1,queenright,1,
2022-08-24 21:30:33.157860+00:00,3627,treatment,mite away,queenright,1,
2022-09-01 23:11:04.071552+00:00,3627,treatment,mite away,queenright,1,
2022-09-07 22:27:36.371518+00:00,3627,frames of bees,4,queenright,1,
2022-09-15 20:45:02.800895+00:00,3627,feeding,sugar,queenright,1,
2022-09-21 15:45:49.317999+00:00,3627,custom practice,add entrance reducer,queenright,1,inventory with Aurore . one hive died
2022-09-29 21:46:36.160584+00:00,3627,feeding,sugar,queenright,1,finished second round for apair
2022-11-11 19:04:31.917556+00:00,3627,,,queenright,1,Added V3 sensor 218
2023-04-12 15:16:55.932263+00:00,3627,hive status,queenright,queenright,1,
2023-04-12 15:16:55.932263+00:00,3627,hive grading,medium,queenright,1,
2022-06-02 17:04:09.450267+00:00,3692,,,queenright,1,
2022-06-02 17:20:39.867942+00:00,3692,hive grading,medium,queenright,1,nucs All qr. added second and queen excluders on all
2022-06-02 17:20:39.867942+00:00,3692,hive status,queenright,queenright,1,nucs All qr. added second and queen excluders on all
2022-06-20 20:48:05.628506+00:00,3692,hive grading,medium,queenright,1,
2022-07-04 21:52:07.878270+00:00,3692,hive grading,strong,queenright,1,15 fob. honey super 1/2 full
2022-07-11 20:23:05.641387+00:00,3692,hive status,queenless,queenless,1,we think the hive swarmed multiple uncapped queen cells
2022-07-11 20:23:05.641387+00:00,3692,hive grading,medium,queenless,1,we think the hive swarmed multiple uncapped queen cells
2022-07-11 20:23:05.641387+00:00,3692,frames of bees,13,queenless,1,we think the hive swarmed multiple uncapped queen cells
2022-07-19 21:32:34.257822+00:00,3692,hive status,queenless,queenless,1,swarmed maybe?
2022-07-19 21:32:34.257822+00:00,3692,hive grading,weak,queenless,1,swarmed maybe?
2022-07-27 21:10:03.098760+00:00,3692,hive grading,medium,queenright,1,3 foh
2022-07-27 21:10:03.098760+00:00,3692,hive status,queenright,queenright,1,3 foh
2022-08-04 12:54:07.298692+00:00,3692,hive grading,pulled honey super,queenright,1,pulled 6 honey supers
2022-08-04 13:30:48.016327+00:00,3692,custom practice,supering,queenright,1,added 1 extracted super for hive to clean
2022-08-19 17:56:23.295758+00:00,3692,frames of bees,14,queenright,1,7fobr. added escape to remove third super
2022-08-19 17:56:23.295758+00:00,3692,hive grading,medium,queenright,1,7fobr. added escape to remove third super
2022-08-19 17:56:23.295758+00:00,3692,hive status,queenright,queenright,1,7fobr. added escape to remove third super
2022-08-19 17:56:23.295758+00:00,3692,custom practice,added bee escape,queenright,1,7fobr. added escape to remove third super
