Date,Tag number,temperature,humidity
2021-06-19 00:04:58+00:00,3629,26.24,35.45
2021-06-19 00:19:58+00:00,3629,26.01,35.92
2021-06-19 00:34:58+00:00,3629,25.84,35.9
2021-06-19 00:47:23+00:00,3629,26.24,35.99
2021-06-19 01:02:33+00:00,3629,26.25,36.15
2021-06-19 01:17:47+00:00,3629,26.25,36.27
2021-06-19 01:32:56+00:00,3629,26.56,36.44
2021-06-19 01:47:56+00:00,3629,26.61,36.53
2021-06-19 02:02:56+00:00,3629,26.74,36.67
2021-06-19 02:20:20+00:00,3629,26.95,36.8
2021-06-19 02:35:31+00:00,3629,26.94,36.82
2021-06-19 02:50:31+00:00,3629,26.61,37.02
2021-06-19 03:06:48+00:00,3629,26.53,37.25
2021-06-19 03:21:58+00:00,3629,26.12,37.36
2021-06-19 03:37:07+00:00,3629,26.56,37.78
2021-06-19 03:52:17+00:00,3629,27.4,37.84
2021-06-19 04:07:27+00:00,3629,27.96,37.84
2021-06-19 04:22:38+00:00,3629,27.94,37.95
2021-06-19 04:37:49+00:00,3629,27.6,38.07
2021-06-19 04:47:59+00:00,3629,27.31,38.3
2021-06-19 05:02:59+00:00,3629,27.32,38.55
2021-06-19 05:18:50+00:00,3629,27.58,38.59
2021-06-19 05:32:21+00:00,3629,27.89,39.29
2021-06-19 05:34:01+00:00,3629,27.8,38.71
2021-06-19 05:47:34+00:00,3629,27.62,38.94
2021-06-19 05:49:01+00:00,3629,27.8,38.75
2021-06-19 06:35:41+00:00,3629,27.44,39.13
2021-06-19 06:50:52+00:00,3629,27.3,39.4
2021-06-19 07:06:03+00:00,3629,27.45,39.49
2021-06-19 07:21:13+00:00,3629,27.53,39.61
2021-06-19 07:36:13+00:00,3629,27.58,39.76
2021-06-19 07:52:30+00:00,3629,27.29,39.95
2021-06-19 08:07:40+00:00,3629,27.15,40.21
2021-06-19 08:22:53+00:00,3629,27.02,40.48
2021-06-19 08:38:05+00:00,3629,27.06,40.37
2021-06-19 08:53:05+00:00,3629,27.07,40.4
2021-06-19 09:09:21+00:00,3629,27.2,40.86
2021-06-19 09:24:34+00:00,3629,27.07,40.71
2021-06-19 09:39:47+00:00,3629,26.91,40.85
2021-06-19 09:54:56+00:00,3629,26.93,40.78
2021-06-19 10:10:05+00:00,3629,26.63,40.98
2021-06-19 10:20:18+00:00,3629,26.88,41.11
2021-06-19 10:35:27+00:00,3629,27.11,41.14
2021-06-19 10:50:38+00:00,3629,26.85,41.35
